Home,Away,Date,Odds,Bet,S,R,Edge
Tottenham,Fulham,18-08-2018,12.0,A - Lost,10.0,0.0,0.08
West Ham,Bournemouth,18-08-2018,3.7,A - Won,10.0,37.0,0.09
Brighton,Man United,19-08-2018,5.5,H - Won,10.0,55.0,0.05
Burnley,Watford,19-08-2018,2.45,H - Lost,10.0,0.0,0.05
Man City,Huddersfield,19-08-2018,26.0,A - Lost,10.0,0.0,0.03
Crystal Palace,Liverpool,20-08-2018,7.0,H - Lost,10.0,0.0,0.17
Arsenal,West Ham,25-08-2018,9.0,A - Lost,10.0,0.0,0.04
Bournemouth,Everton,25-08-2018,2.62,H - Lost,10.0,0.0,0.06
Huddersfield,Cardiff,25-08-2018,2.37,H - Lost,10.0,0.0,0.11
Liverpool,Brighton,25-08-2018,19.0,A - Lost,10.0,0.0,0.03
Southampton,Leicester,25-08-2018,2.45,H - Lost,10.0,0.0,0.02
Wolves,Man City,25-08-2018,11.0,H - Lost,10.0,0.0,0.0
Fulham,Burnley,26-08-2018,4.33,A - Lost,10.0,0.0,0.14
Newcastle,Chelsea,26-08-2018,5.75,H - Lost,10.0,0.0,0.12
Watford,Crystal Palace,26-08-2018,3.0,A - Lost,10.0,0.0,0.03
Brighton,Fulham,01-09-2018,3.4,A - Lost,10.0,0.0,0.08
Chelsea,Bournemouth,01-09-2018,11.0,A - Lost,10.0,0.0,0.04
Crystal Palace,Southampton,01-09-2018,2.0,H - Lost,10.0,0.0,0.02
Everton,Huddersfield,01-09-2018,7.5,A - Lost,10.0,0.0,0.01
Leicester,Liverpool,01-09-2018,7.5,H - Lost,10.0,0.0,0.05
Man City,Newcastle,01-09-2018,26.0,A - Lost,10.0,0.0,0.03
West Ham,Wolves,01-09-2018,2.6,H - Lost,10.0,0.0,0.02
Burnley,Man United,02-09-2018,6.0,H - Lost,10.0,0.0,0.14
Cardiff,Arsenal,02-09-2018,6.5,H - Lost,10.0,0.0,0.12
Watford,Tottenham,02-09-2018,5.5,H - Won,10.0,55.0,0.23
Bournemouth,Leicester,15-09-2018,3.0,A - Lost,10.0,0.0,0.01
Chelsea,Cardiff,15-09-2018,19.0,A - Lost,10.0,0.0,0.03
Huddersfield,Crystal Palace,15-09-2018,2.5,A - Won,10.0,25.0,0.03
Man City,Fulham,15-09-2018,26.0,A - Lost,10.0,0.0,0.04
Newcastle,Arsenal,15-09-2018,4.2,H - Lost,10.0,0.0,0.07
Tottenham,Liverpool,15-09-2018,2.4,A - Won,10.0,24.0,0.01
Watford,Man United,15-09-2018,4.33,H - Lost,10.0,0.0,0.23
Everton,West Ham,16-09-2018,2.0,H - Lost,10.0,0.0,0.09
Wolves,Burnley,16-09-2018,5.75,A - Lost,10.0,0.0,0.01
Southampton,Brighton,17-09-2018,2.1,H - Lost,10.0,0.0,0.15
Brighton,Tottenham,22-09-2018,5.0,H - Lost,10.0,0.0,0.05
Cardiff,Man City,22-09-2018,23.0,H - Lost,10.0,0.0,0.02
Crystal Palace,Newcastle,22-09-2018,2.14,H - Lost,10.0,0.0,0.16
Fulham,Watford,22-09-2018,2.9,A - Lost,10.0,0.0,0.18
Leicester,Huddersfield,22-09-2018,6.5,A - Lost,10.0,0.0,0.02
Liverpool,Southampton,22-09-2018,17.0,A - Lost,10.0,0.0,0.04
Man United,Wolves,22-09-2018,6.5,A - Lost,10.0,0.0,0.04
Arsenal,Everton,23-09-2018,7.5,A - Lost,10.0,0.0,0.09
Arsenal,Watford,29-09-2018,7.0,A - Lost,10.0,0.0,0.2
Chelsea,Liverpool,29-09-2018,2.8,H - Lost,10.0,0.0,0.14
Huddersfield,Tottenham,29-09-2018,8.5,H - Lost,10.0,0.0,0.1
Man City,Brighton,29-09-2018,34.0,A - Lost,10.0,0.0,0.01
Newcastle,Leicester,29-09-2018,3.0,A - Won,10.0,30.0,0.06
West Ham,Man United,29-09-2018,4.5,H - Won,10.0,45.0,0.01
Wolves,Southampton,29-09-2018,5.25,A - Lost,10.0,0.0,0.07
Cardiff,Burnley,30-09-2018,2.62,H - Lost,10.0,0.0,0.03
Bournemouth,Crystal Palace,01-10-2018,3.4,A - Lost,10.0,0.0,0.04
Brighton,West Ham,05-10-2018,2.7,H - Won,10.0,27.0,0.01
Burnley,Huddersfield,06-10-2018,2.14,H - Lost,10.0,0.0,0.08
Crystal Palace,Wolves,06-10-2018,3.0,H - Lost,10.0,0.0,0.1
Leicester,Everton,06-10-2018,2.2,H - Lost,10.0,0.0,0.04
Man United,Newcastle,06-10-2018,9.0,A - Lost,10.0,0.0,0.03
Tottenham,Cardiff,06-10-2018,15.0,A - Lost,10.0,0.0,0.05
Fulham,Arsenal,07-10-2018,5.25,H - Lost,10.0,0.0,0.04
Liverpool,Man City,07-10-2018,2.8,A - Lost,10.0,0.0,0.06
Southampton,Chelsea,07-10-2018,6.0,H - Lost,10.0,0.0,0.06
Bournemouth,Southampton,20-10-2018,2.04,H - Lost,10.0,0.0,0.12
Cardiff,Fulham,20-10-2018,2.5,H - Won,10.0,25.0,0.03
Chelsea,Man United,20-10-2018,1.75,H - Lost,10.0,0.0,0.04
Huddersfield,Liverpool,20-10-2018,11.0,H - Lost,10.0,0.0,0.02
Man City,Burnley,20-10-2018,34.0,A - Lost,10.0,0.0,0.0
Newcastle,Brighton,20-10-2018,2.2,H - Lost,10.0,0.0,0.14
Wolves,Watford,20-10-2018,5.25,A - Won,10.0,52.5,0.16
Everton,Crystal Palace,21-10-2018,4.75,A - Lost,10.0,0.0,0.02
Arsenal,Leicester,22-10-2018,6.5,A - Lost,10.0,0.0,0.22
Brighton,Wolves,27-10-2018,2.5,A - Lost,10.0,0.0,0.06
Fulham,Bournemouth,27-10-2018,2.4,A - Won,10.0,24.0,0.07
Leicester,West Ham,27-10-2018,2.1,H - Lost,10.0,0.0,0.06
Liverpool,Cardiff,27-10-2018,26.0,A - Lost,10.0,0.0,0.06
Southampton,Newcastle,27-10-2018,3.9,A - Lost,10.0,0.0,0.01
Burnley,Chelsea,28-10-2018,11.0,H - Lost,10.0,0.0,0.06
Crystal Palace,Arsenal,28-10-2018,4.75,H - Lost,10.0,0.0,0.09
Man United,Everton,28-10-2018,5.25,A - Lost,10.0,0.0,0.13
Tottenham,Man City,29-10-2018,4.75,H - Lost,10.0,0.0,0.06
Arsenal,Liverpool,03-11-2018,3.9,H - Lost,10.0,0.0,0.06
Bournemouth,Man United,03-11-2018,3.6,H - Lost,10.0,0.0,0.11
Cardiff,Leicester,03-11-2018,2.14,A - Won,10.0,21.4,0.01
Everton,Brighton,03-11-2018,1.61,H - Won,10.0,16.1,0.08
Newcastle,Watford,03-11-2018,2.8,A - Lost,10.0,0.0,0.13
West Ham,Burnley,03-11-2018,1.75,H - Won,10.0,17.5,0.04
Wolves,Tottenham,03-11-2018,3.1,H - Lost,10.0,0.0,0.13
Man City,Southampton,04-11-2018,29.0,A - Lost,10.0,0.0,0.03
Huddersfield,Fulham,05-11-2018,2.3,H - Won,10.0,23.0,0.04
Cardiff,Brighton,10-11-2018,2.6,H - Won,10.0,26.0,0.04
Crystal Palace,Tottenham,10-11-2018,4.5,H - Lost,10.0,0.0,0.03
Huddersfield,West Ham,10-11-2018,3.4,H - Lost,10.0,0.0,0.05
Newcastle,Bournemouth,10-11-2018,2.9,H - Won,10.0,29.0,0.0
